#ID,radius,vdisp,surfdens
417,8.2,1.42,95.81
418,17.5,1.05,44.36
419,21.5,1.85,35.81
420,13.7,1.59,74.77
421,2.6,1.60,783.16
423,6.2,0.62,48.09
425,11.5,1.47,65.66
426,9.7,1.22,20.84
427,20.3,2.53,54.58
430,14.1,0.75,14.09
432,16.1,1.75,172.15
433,7.0,0.55,17.15
435,10.9,1.21,31.36
436,13.9,2.05,58.43
437,5.3,0.90,161.55
438,12.9,1.58,69.69
439,10.1,1.70,99.40
440,8.7,0.92,40.71
441,13.4,1.95,61.78
442,9.7,2.56,175.65
443,8.5,1.65,110.88
444,23.1,2.07,40.11
445,8.4,1.65,71.46
446,14.7,1.40,49.52
447,10.1,1.20,47.78
448,10.6,1.77,89.75
449,11.3,0.81,33.34
450,11.7,2.64,25.99
451,18.8,2.92,52.54
452,5.9,1.36,127.95
454,8.3,2.22,42.69
458,13.3,1.17,53.21
459,9.6,1.62,103.34
460,10.0,1.10,25.49
461,7.0,1.68,93.18
462,20.0,2.50,78.01
463,12.2,1.62,72.46
464,8.3,1.46,27.65
465,6.4,1.36,80.01
467,10.8,1.13,52.35
469,12.4,2.09,53.38
470,14.1,2.29,75.52
472,10.2,1.76,144.04
474,20.8,2.08,49.53
477,22.8,1.72,35.56
479,16.1,2.00,54.68
481,4.5,1.60,291.87
484,14.9,1.28,33.31
485,7.8,2.19,66.76
487,8.6,0.87,18.18
488,5.0,0.79,125.49
490,11.7,2.58,89.01
492,12.3,1.61,50.73
493,23.3,3.53,74.61
494,13.8,0.83,24.71
495,16.8,1.84,27.69
496,5.1,1.48,183.08
498,6.5,0.81,62.32
499,5.5,1.20,80.56
500,14.6,1.11,23.79
501,10.0,1.74,161.34
502,13.8,0.83,38.10
504,15.4,1.62,22.56
505,13.2,0.43,12.06
508,28.7,4.63,57.81
509,15.1,1.25,38.82
510,13.4,2.48,92.20
512,10.4,1.43,140.11
513,7.3,3.44,202.90
514,8.0,1.22,44.21
515,19.2,1.96,46.35
518,9.5,2.28,77.59
519,7.3,1.30,44.68
521,12.5,2.67,62.03
522,12.2,0.82,18.63
523,17.5,2.00,59.36
524,16.8,1.82,62.62
525,11.9,2.50,111.96
527,8.0,1.65,94.10
528,7.7,0.70,17.95
529,10.3,1.17,30.36
531,19.8,2.34,340.96
532,9.0,1.08,25.59
533,39.7,5.85,133.86
534,13.5,0.80,11.68
536,15.3,2.45,37.81
538,10.7,2.12,158.30
539,17.6,0.61,23.78
540,10.7,2.84,53.34
541,15.5,1.42,50.13
542,5.7,1.05,74.14
543,14.6,1.62,98.03
544,12.9,1.51,35.35
545,26.6,3.76,125.77
547,6.0,1.80,304.23
548,21.0,2.41,56.72
552,13.2,1.64,31.51
557,10.8,1.42,42.51
558,4.5,0.86,138.33
559,6.2,1.14,77.24
560,5.1,0.77,48.46
561,17.3,2.04,46.70
563,13.4,2.21,66.46
564,10.2,1.13,42.81
567,9.9,1.60,46.59
568,14.0,2.37,274.97
569,10.6,2.16,30.66
573,3.6,1.40,410.66
574,7.5,1.48,123.00
575,13.3,1.28,61.28
576,14.0,1.01,20.01
578,15.6,0.78,18.42
580,12.7,1.05,34.39
582,9.9,1.65,95.17
583,8.0,1.41,39.83
584,18.9,1.94,44.38
585,7.7,2.09,141.26
586,14.9,1.84,42.14
587,17.9,1.20,101.24
588,10.3,1.47,43.30
590,17.0,2.07,63.39
591,13.5,1.61,150.01
592,11.2,2.89,144.25
