#ID,radius,vdisp,surfdens
LMC373,7.5,1.19,51.29
LMC374,11.6,2.15,131.56
LMC375,9.2,0.60,29.12
LMC376,6.9,1.30,170.03
LMC377,17.9,1.20,46.25
LMC378,12.7,1.55,68.95
LMC380,18.5,2.16,166.39
LMC382,10.2,0.94,31.23
LMC383,17.7,0.79,28.61
LMC384,7.5,2.13,117.02
LMC385,14.1,1.26,42.83
LMC386,12.1,1.05,40.56
LMC387,28.2,1.52,69.57
LMC388,13.0,1.61,249.95
LMC390,10.3,1.11,61.26
LMC391,15.0,2.24,46.44
LMC393,21.8,1.31,86.35
LMC394,8.5,1.20,73.66
LMC395,15.4,1.51,40.16
LMC396,7.2,1.34,106.45
LMC397,14.3,1.78,57.26
LMC398,4.7,0.66,49.45
LMC399,8.3,1.39,38.22
LMC400,15.3,0.95,29.68
LMC401,17.8,1.26,78.24
LMC402,38.3,2.79,29.58
LMC403,12.8,1.01,59.67
LMC404,9.6,1.60,43.77
LMC406,9.1,0.56,11.16
LMC407,13.2,1.15,86.17
LMC408,7.2,1.94,348.52
LMC409,11.6,1.49,85.56
LMC410,9.9,1.50,187.77
LMC411,15.9,2.20,154.23
LMC412,13.7,1.82,44.47
LMC414,6.3,1.16,85.40
LMC415,6.2,1.13,98.37
LMC416,7.3,1.07,114.06
LMC417,8.2,1.42,95.81
LMC418,17.5,1.05,44.36
LMC419,21.5,1.85,35.81
LMC420,13.7,1.59,74.77
LMC421,2.6,1.60,783.16
LMC423,6.2,0.62,48.09
LMC425,11.5,1.47,65.66
LMC426,9.7,1.22,20.84
LMC427,20.3,2.53,54.58
LMC430,14.1,0.75,14.09
LMC432,16.1,1.75,172.15
LMC433,7.0,0.55,17.15
LMC435,10.9,1.21,31.36
LMC436,13.9,2.05,58.43
LMC437,5.3,0.90,161.55
LMC438,12.9,1.58,69.69
LMC439,10.1,1.70,99.40
LMC440,8.7,0.92,40.71
LMC441,13.4,1.95,61.78
LMC442,9.7,2.56,175.65
LMC443,8.5,1.65,110.88
LMC444,23.1,2.07,40.11
LMC445,8.4,1.65,71.46
LMC446,14.7,1.40,49.52
LMC447,10.1,1.20,47.78
LMC448,10.6,1.77,89.75
LMC449,11.3,0.81,33.34
LMC450,11.7,2.64,25.99
LMC451,18.8,2.92,52.54
LMC452,5.9,1.36,127.95
LMC454,8.3,2.22,42.69
LMC458,13.3,1.17,53.21
LMC459,9.6,1.62,103.34
LMC460,10.0,1.10,25.49
LMC461,7.0,1.68,93.18
LMC462,20.0,2.50,78.01
LMC463,12.2,1.62,72.46
LMC464,8.3,1.46,27.65
LMC465,6.4,1.36,80.01
LMC467,10.8,1.13,52.35
LMC469,12.4,2.09,53.38
LMC470,14.1,2.29,75.52
LMC472,10.2,1.76,144.04
LMC474,20.8,2.08,49.53
LMC477,22.8,1.72,35.56
LMC479,16.1,2.00,54.68
LMC481,4.5,1.60,291.87
LMC484,14.9,1.28,33.31
LMC485,7.8,2.19,66.76
LMC487,8.6,0.87,18.18
LMC488,5.0,0.79,125.49
LMC490,11.7,2.58,89.01
LMC492,12.3,1.61,50.73
LMC493,23.3,3.53,74.61
LMC494,13.8,0.83,24.71
LMC495,16.8,1.84,27.69
LMC496,5.1,1.48,183.08
LMC498,6.5,0.81,62.32
LMC499,5.5,1.20,80.56
LMC500,14.6,1.11,23.79
LMC501,10.0,1.74,161.34
LMC502,13.8,0.83,38.10
LMC504,15.4,1.62,22.56
LMC505,13.2,0.43,12.06
LMC508,28.7,4.63,57.81
LMC509,15.1,1.25,38.82
LMC510,13.4,2.48,92.20
LMC512,10.4,1.43,140.11
LMC513,7.3,3.44,202.90
LMC514,8.0,1.22,44.21
LMC515,19.2,1.96,46.35
LMC518,9.5,2.28,77.59
LMC519,7.3,1.30,44.68
LMC521,12.5,2.67,62.03
LMC522,12.2,0.82,18.63
LMC523,17.5,2.00,59.36
LMC524,16.8,1.82,62.62
LMC525,11.9,2.50,111.96
LMC527,8.0,1.65,94.10
LMC528,7.7,0.70,17.95
LMC529,10.3,1.17,30.36
LMC531,19.8,2.34,340.96
LMC532,9.0,1.08,25.59
LMC533,39.7,5.85,133.86
LMC534,13.5,0.80,11.68
LMC536,15.3,2.45,37.81
LMC538,10.7,2.12,158.30
LMC539,17.6,0.61,23.78
LMC540,10.7,2.84,53.34
LMC541,15.5,1.42,50.13
LMC542,5.7,1.05,74.14
LMC543,14.6,1.62,98.03
LMC544,12.9,1.51,35.35
LMC545,26.6,3.76,125.77
LMC547,6.0,1.80,304.23
LMC548,21.0,2.41,56.72
LMC552,13.2,1.64,31.51
LMC557,10.8,1.42,42.51
LMC558,4.5,0.86,138.33
LMC559,6.2,1.14,77.24
LMC560,5.1,0.77,48.46
LMC561,17.3,2.04,46.70
LMC563,13.4,2.21,66.46
LMC564,10.2,1.13,42.81
LMC567,9.9,1.60,46.59
LMC568,14.0,2.37,274.97
LMC569,10.6,2.16,30.66
LMC573,3.6,1.40,410.66
LMC574,7.5,1.48,123.00
LMC575,13.3,1.28,61.28
LMC576,14.0,1.01,20.01
LMC578,15.6,0.78,18.42
LMC580,12.7,1.05,34.39
LMC582,9.9,1.65,95.17
LMC583,8.0,1.41,39.83
LMC584,18.9,1.94,44.38
LMC585,7.7,2.09,141.26
LMC586,14.9,1.84,42.14
LMC587,17.9,1.20,101.24
LMC588,10.3,1.47,43.30
LMC590,17.0,2.07,63.39
LMC591,13.5,1.61,150.01
LMC592,11.2,2.89,144.25
LMC593,9.1,0.47,19.28
LMC594,16.1,2.27,109.04
LMC595,11.0,2.09,90.28
LMC596,9.4,0.89,39.31
LMC597,21.6,1.76,146.43
LMC598,37.3,1.66,35.84
LMC600,8.4,1.99,112.35
LMC601,12.8,1.75,53.51
LMC602,11.0,1.28,36.58
LMC603,2.4,3.05,1371.39
LMC605,3.4,2.49,457.97
LMC609,10.5,0.57,169.47
LMC610,17.9,3.39,38.90
LMC611,4.4,1.79,228.60
LMC612,9.7,1.19,34.24
LMC613,9.4,1.75,68.47
LMC614,16.6,1.39,35.07
LMC615,15.8,2.07,47.69
LMC617,19.6,2.49,41.27
LMC618,6.5,1.53,68.29
LMC620,9.8,2.39,49.29
LMC621,8.3,1.05,28.06
LMC622,5.0,1.18,62.75
LMC624,3.3,0.70,180.05
LMC625,15.4,1.75,45.71
LMC626,17.7,1.65,45.60
LMC629,12.5,1.66,54.68
LMC630,8.3,1.12,47.98
LMC632,5.7,1.93,210.36
LMC634,7.6,1.15,65.95
LMC635,20.4,1.93,70.07
LMC636,4.7,0.77,69.74
LMC637,7.2,0.55,44.85
LMC638,14.2,1.78,92.80
LMC639,7.5,0.30,81.67
LMC640,17.9,1.34,32.43
LMC641,16.4,0.75,23.43
LMC642,14.0,2.63,243.96
LMC644,13.0,1.53,51.88
LMC646,8.8,0.50,31.11
LMC647,9.3,1.68,86.47
LMC648,10.9,2.18,242.60
LMC649,18.0,2.05,65.96
LMC650,30.6,1.78,126.30
LMC651,16.5,1.43,18.31
LMC652,24.0,2.36,131.16
LMC655,10.1,0.84,4.67
LMC657,16.8,0.87,29.97
LMC658,18.0,1.56,90.17
LMC659,16.2,1.15,26.36
LMC660,3.1,1.25,352.69
LMC661,17.4,0.91,9.53
LMC663,10.2,1.46,60.85
LMC664,15.8,0.88,16.05
LMC665,29.4,1.26,9.50
LMC667,18.4,2.35,52.95
LMC668,4.8,1.14,322.18
LMC669,17.2,1.43,37.59
LMC670,6.5,0.73,64.97
LMC671,14.0,2.12,158.49
LMC672,18.0,3.04,76.17
LMC673,11.5,1.02,110.35
LMC674,13.9,0.96,27.98
LMC675,17.1,1.40,52.88
LMC677,13.6,1.80,59.37
LMC678,13.3,1.46,65.24
LMC679,16.1,2.44,111.31
LMC680,17.6,1.97,47.75
LMC681,20.0,1.62,52.94
LMC682,9.0,1.27,55.68
LMC683,13.2,2.94,119.93
LMC684,13.6,1.63,114.64
LMC685,15.7,2.04,37.16
LMC686,4.6,1.26,132.38
LMC687,15.7,1.29,73.18
LMC688,16.5,0.47,19.75
LMC689,10.3,1.19,97.69
LMC690,11.1,1.24,54.34
LMC691,14.0,1.47,31.44
LMC692,3.8,0.99,215.32
LMC693,18.5,1.68,59.17
LMC694,17.9,1.36,92.84
